feature,rf_importance,rf_rank,correlation,corr_rank,mutual_info,mi_rank,avg_rank,combined_rank
rainfall_change1h,5.628040570069519e-06,141.0,0.00042768210671213883,179.0,0.0029397623965743414,151.0,157.0,162.5
rainfall_change3h,6.0048101975861495e-06,139.0,0.0010601835510089719,177.0,0.0021702055572649925,155.0,157.0,162.5
rainfall_lag3h,4.239030912456236e-06,147.0,0.012160573112528458,149.0,0.0,179.0,158.33333333333334,164.0
강수량(mm),2.1653053170786097e-06,153.0,0.01084708140670855,155.5,0.0009910919455300427,169.0,159.16666666666666,165.0
rainfall_roll1h,1.511028275756486e-06,160.0,0.01084708140670855,155.5,0.0013723383656467636,164.0,159.83333333333334,166.0
rainfall_change2h,7.940507412749811e-06,128.0,0.0007278760025748297,178.0,0.0,179.0,161.66666666666666,167.0
cumulonimbus_prob,9.056028163935199e-07,166.0,0.01358647135337495,141.0,0.0,179.0,162.0,168.0
가시거리_3,4.431003396281363e-06,146.0,0.004655137089374736,169.0,0.0004668393207192256,173.0,162.66666666666666,169.0
강수강도_0,6.576730994406369e-07,171.0,0.006183611046419559,163.0,0.0021626584125995496,156.0,163.33333333333334,170.0
풍속(m/s)_이상치,4.786900717415184e-07,175.0,0.01188037277000645,151.0,0.0012522962888985578,165.0,163.66666666666666,171.5
강수끝,9.532728825644934e-07,165.0,0.005325127895761168,165.0,0.0014615015985877111,161.0,163.66666666666666,171.5
가시거리_0,1.6258106342794787e-07,179.0,0.01222812802389506,148.0,0.0010570860552545636,168.0,165.0,173.0
강수강도_4,1.0123978395274997e-07,180.0,0.010287675641659205,157.0,0.0012428461329072604,166.0,167.66666666666666,174.0
rainy,3.7015626146371535e-07,177.0,0.00452742611323387,171.5,0.00195478650659231,158.0,168.83333333333334,175.0
cloud_cover_rain,3.906068704668102e-07,176.0,0.00452742611323387,171.5,0.0014083054494296032,162.0,169.83333333333334,176.0
강수강도_2,1.0800816710158155e-06,164.0,0.0023775406350052767,175.0,0.00035759728290862824,174.0,171.0,177.0
강수강도_1,1.250435238630353e-06,162.0,0.0015790075422185128,176.0,0.0,179.0,172.33333333333334,178.0
강수강도_3,2.450336205802265e-07,178.0,0.006826893871612925,161.0,0.0,179.0,172.66666666666666,179.5
강수시작,6.176246031784558e-07,172.0,0.0049659411975887585,167.0,0.0,179.0,172.66666666666666,179.5
high_cloud_prob,0.0,181.5,0.0,181.5,0.00030513641712892614,175.0,179.33333333333334,181.0
is_planned_closed,0.0,181.5,0.0,181.5,0.0,179.0,180.66666666666666,182.0
